RESULTS (Input Conditions),,,,,,,,,,,,,,,,,,,,
Salinity,t(oC) in,P (dbars) in,Total P (mmol/kgSW),Total Si (mmol/kgSW),TA in (mmol/kgSW),TCO2 in (mmol/kgSW),pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm)
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.7,1786.5,250.713553,8.937114,106.2,5.931498,0.000000,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.7,276.7,1786.4,250.736610,8.935726,106.2,5.932232,0.000000,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.0,8.182,275.7,276.6,1786.3,250.759141,8.934370,106.2,5.932948,0.000000,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.6,1786.3,250.780615,8.933077,106.2,5.933632,0.000000,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.5,1786.2,250.800998,8.931851,106.2,5.934280,0.000000,0.0,9.087,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.6,276.5,1786.2,250.820870,8.930655,106.2,5.934913,0.000000,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.5,1786.2,250.839120,8.929557,106.2,5.935493,0.000000,0.0,9.086,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.855778,8.928555,106.2,5.936023,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.871345,8.927619,106.3,5.936519,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.5,276.4,1786.0,250.885304,8.926779,106.3,5.936963,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.897123,8.926069,106.3,5.937339,0.000000,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.906800,8.925487,106.3,5.937647,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1786.0,250.914853,8.925003,106.3,5.937904,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1786.0,250.920763,8.924647,106.3,5.938092,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1785.9,250.924516,8.924422,106.3,5.938211,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1785.9,250.926674,8.924292,106.3,5.938280,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1785.9,250.926674,8.924292,106.3,5.938280,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1785.9,250.925064,8.924389,106.3,5.938229,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1785.9,250.921827,8.924584,106.3,5.938126,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1786.0,250.916995,8.924874,106.3,5.937972,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.3,1786.0,250.910553,8.925261,106.3,5.937767,0.000000,0.0,9.085,6.00,3.90,282.7
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.902501,8.925745,106.3,5.937510,0.000000,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.892839,8.926326,106.3,5.937203,0.000000,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.0,250.882084,8.926973,106.3,5.936861,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.869735,8.927716,106.3,5.936468,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.856841,8.928491,106.2,5.936057,0.000000,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.5,1786.1,250.841808,8.929395,106.2,5.935579,0.000000,0.0,9.086,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.6,276.5,1786.2,250.826229,8.930332,106.2,5.935083,0.000000,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.5,1786.2,250.809059,8.931366,106.2,5.934537,0.000000,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.6,1786.3,250.791360,8.932431,106.2,5.933974,0.000000,0.0,9.087,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.7,276.6,1786.3,250.772571,8.933561,106.2,5.933376,0.000000,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.7,276.6,1786.4,250.752708,8.934757,106.2,5.932744,0.000000,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.7,276.7,1786.4,250.731786,8.936017,106.2,5.932078,0.000000,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.7,1786.5,250.710337,8.937308,106.2,5.931396,0.000000,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.8,1786.5,250.688346,8.938633,106.2,5.930696,0.000000,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.665829,8.939989,106.2,5.929980,0.000000,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.642239,8.941410,106.2,5.929230,0.000000,0.0,9.091,5.99,3.90,283.3
