RESULTS (Output Conditions),,,,,,,,,,,,,,,
t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
0.000,0.0,8.509,113.1,113.6,1798.6,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0.000,0.0,8.510,113.1,113.6,1798.6,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.5,240.4,7.1,119.0,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.5,240.4,7.1,119.1,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.4,240.4,7.1,119.1,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.4,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.1
0.000,0.0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.76,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.76,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.1,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.6,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.250,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0.000,0.0,8.510,112.9,113.4,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.76,3.62,114.1
0.000,0.0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.76,3.62,114.1
0.000,0.0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.1
0.000,0.0,8.510,113.0,113.5,1798.4,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.4,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.5,240.4,7.1,119.1,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.5,240.4,7.1,119.1,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0.000,0.0,8.510,113.0,113.5,1798.5,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0.000,0.0,8.509,113.1,113.6,1798.6,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0.000,0.0,8.509,113.1,113.6,1798.7,240.4,7.1,119.0,1.6,0.0,0.0,9.255,5.76,3.62,114.2
0.000,0.0,8.509,113.1,113.6,1798.7,240.3,7.1,119.0,1.6,0.0,0.0,9.255,5.76,3.62,114.3
0.000,0.0,8.509,113.1,113.6,1798.8,240.3,7.1,119.0,1.6,0.0,0.0,9.255,5.76,3.62,114.3
0.000,0.0,8.509,113.1,113.6,1798.8,240.3,7.1,119.0,1.6,0.0,0.0,9.256,5.76,3.62,114.3
0.000,0.0,8.509,113.1,113.6,1798.9,240.3,7.1,119.0,1.6,0.0,0.0,9.256,5.76,3.62,114.3
0.000,0.0,8.509,113.2,113.7,1798.9,240.2,7.1,119.0,1.6,0.0,0.0,9.257,5.76,3.62,114.3
0.000,0.0,8.509,113.2,113.7,1799.0,240.2,7.1,119.0,1.6,0.0,0.0,9.258,5.76,3.62,114.4
0.000,0.0,8.509,113.2,113.7,1799.1,240.2,7.1,118.9,1.6,0.0,0.0,9.258,5.76,3.62,114.4
0.000,0.0,8.509,113.2,113.7,1799.1,240.2,7.1,118.9,1.6,0.0,0.0,9.259,5.76,3.62,114.4
0.000,0.0,8.509,113.2,113.7,1799.2,240.1,7.1,118.9,1.6,0.0,0.0,9.259,5.76,3.62,114.4
0.000,0.0,8.509,113.3,113.8,1799.3,240.1,7.1,118.9,1.6,0.0,0.0,9.260,5.76,3.62,114.4
0.000,0.0,8.509,113.3,113.8,1799.3,240.1,7.1,118.9,1.6,0.0,0.0,9.260,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.4,240.1,7.1,118.9,1.6,0.0,0.0,9.261,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.4,240.0,7.1,118.9,1.6,0.0,0.0,9.261,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.5,240.0,7.1,118.9,1.6,0.0,0.0,9.262,5.75,3.62,114.5
0.000,0.0,8.509,113.4,113.9,1799.6,240.0,7.1,118.9,1.6,0.0,0.0,9.262,5.75,3.61,114.5
0.000,0.0,8.509,113.4,113.9,1799.6,240.0,7.1,118.8,1.6,0.0,0.0,9.263,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.6,240.0,7.1,118.8,1.6,0.0,0.0,9.263,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.263,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.264,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.264,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.264,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.264,5.75,3.61,114.6
0.000,0.0,8.508,113.4,113.9,1799.7,240.0,7.1,118.8,1.6,0.0,0.0,9.263,5.75,3.61,114.6
0.000,0.0,8.509,113.4,113.9,1799.6,240.0,7.1,118.8,1.6,0.0,0.0,9.263,5.75,3.61,114.6
0.000,0.0,8.509,113.4,113.9,1799.5,240.0,7.1,118.9,1.6,0.0,0.0,9.262,5.75,3.61,114.5
0.000,0.0,8.509,113.3,113.8,1799.5,240.0,7.1,118.9,1.6,0.0,0.0,9.262,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.4,240.1,7.1,118.9,1.6,0.0,0.0,9.261,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.3,240.1,7.1,118.9,1.6,0.0,0.0,9.260,5.75,3.62,114.5
0.000,0.0,8.509,113.3,113.8,1799.2,240.1,7.1,118.9,1.6,0.0,0.0,9.259,5.76,3.62,114.4
0.000,0.0,8.509,113.2,113.7,1799.1,240.2,7.1,118.9,1.6,0.0,0.0,9.259,5.76,3.62,114.4
0.000,0.0,8.509,113.2,113.7,1799.0,240.2,7.1,119.0,1.6,0.0,0.0,9.258,5.76,3.62,114.4
0,0,8.509,113.2,113.7,1798.9,240.2,7.1,119.0,1.6,0.0,0.0,9.257,5.76,3.62,114.3
0,0,8.509,113.1,113.6,1798.9,240.3,7.1,119.0,1.6,0.0,0.0,9.256,5.76,3.62,114.3
0,0,8.509,113.1,113.6,1798.8,240.3,7.1,119.0,1.6,0.0,0.0,9.256,5.76,3.62,114.3
0,0,8.509,113.1,113.6,1798.7,240.3,7.1,119.0,1.6,0.0,0.0,9.255,5.76,3.62,114.3
0,0,8.509,113.1,113.6,1798.6,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0,0,8.510,113.0,113.5,1798.5,240.4,7.1,119.0,1.6,0.0,0.0,9.254,5.76,3.62,114.2
0,0,8.510,113.0,113.5,1798.5,240.4,7.1,119.1,1.6,0.0,0.0,9.253,5.76,3.62,114.2
0,0,8.510,113.0,113.5,1798.4,240.4,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.2
0,0,8.510,113.0,113.5,1798.4,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.2
0,0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.252,5.76,3.62,114.1
0,0,8.510,113.0,113.5,1798.3,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.76,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
0,0,8.510,112.9,113.4,1798.2,240.5,7.1,119.1,1.6,0.0,0.0,9.251,5.77,3.62,114.1
